attempts,avg_time_per_evaluation_seconds,completion_tokens,evaluator_model,expected_evaluations,line_no,llm_seconds,parsing_seconds,prompt_tokens,row_type,source_file,stage,successful_evaluations,total_seconds,total_tokens
1,,1448,gpt-5-2025-08-07,,367,19.94,0.00,4844,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,general_evaluation,,19.94,6292
1,,1601,gpt-5-2025-08-07,,372,20.11,0.00,8458,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,general_evaluation,,20.11,10059
1,,1566,gpt-5-2025-08-07,,377,20.64,0.00,3422,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,general_evaluation,,20.64,4988
1,,1259,gpt-5-2025-08-07,,382,25.36,0.00,3669,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,general_evaluation,,25.36,4928
1,,11115,gpt-5-2025-08-07,,1328,88.97,0.00,5019,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,accuracy_evaluation,,88.97,16134
1,,7439,gpt-5-2025-08-07,,1335,42.32,0.00,4832,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,accuracy_evaluation,,42.32,12271
1,,6070,gpt-5-2025-08-07,,1342,50.77,0.00,3536,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,accuracy_evaluation,,50.77,9606
1,,4718,gpt-5-2025-08-07,,1349,36.72,0.00,4374,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,completeness_evaluation,,36.72,9092
1,,7899,gpt-5-2025-08-07,,1355,57.99,0.00,6743,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,completeness_evaluation,,57.99,14642
1,,3147,gpt-5-2025-08-07,,1361,45.43,0.00,4300,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,coverage_evaluation,,45.44,7447
1,,412,anthropic.claude-sonnet-4-20250514-v1:0,,1373,7.57,0.00,4721,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,general_evaluation,,7.57,5133
1,,7729,gpt-5-2025-08-07,,1523,98.68,0.00,5226,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,completeness_evaluation,,98.68,12955
1,,2085,anthropic.claude-sonnet-4-20250514-v1:0,,1529,21.83,0.00,4652,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,accuracy_evaluation,,21.83,6737
1,,6882,gpt-5-2025-08-07,,1536,86.02,0.00,6669,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,coverage_evaluation,,86.02,13551
1,,2000,anthropic.claude-sonnet-4-20250514-v1:0,,1546,23.76,0.00,5265,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,completeness_evaluation,,23.76,7265
1,,11448,gpt-5-2025-08-07,,1552,190.98,0.00,5270,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,accuracy_evaluation,,190.98,16718
1,,399,anthropic.claude-sonnet-4-20250514-v1:0,,1559,10.67,0.00,6144,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,general_evaluation,,10.67,6543
1,,6855,gpt-5-2025-08-07,,1841,59.03,0.00,5152,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,coverage_evaluation,,59.03,12007
1,,1484,anthropic.claude-sonnet-4-20250514-v1:0,,1851,18.12,0.00,5496,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,coverage_evaluation,,18.12,6980
1,,401,anthropic.claude-sonnet-4-20250514-v1:0,,1866,7.69,0.00,4503,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,general_evaluation,,7.69,4904
1,,4112,anthropic.claude-sonnet-4-20250514-v1:0,,2112,40.45,0.00,6530,metric_call,batch_meeting_notes_model_comparison_20260403_1336.log,accuracy_evaluation,,40.45,10642
