section,row_type,dataset_type,meeting_id,candidate_model,meeting_count,evaluator_run_count,accuracy_avg,completeness_avg,coverage_avg,accuracy_scores_by_evaluator,completeness_scores_by_evaluator,coverage_scores_by_evaluator,note,report_path
overall_by_model,overall_model,,,gpt-41-mini,114,228,0.584,0.814,0.804,,,,,
overall_by_model,overall_model,,,gpt-5-mini,113,226,0.574,0.843,0.875,,,,,
overall_by_model,overall_model,,,gpt-51,113,226,0.553,0.886,0.942,,,,,
overall_by_model_dataset_type,overall_model_dataset_type,city_council,,gpt-41-mini,34,68,0.703,0.775,0.775,,,,,
overall_by_model_dataset_type,overall_model_dataset_type,city_council,,gpt-5-mini,33,66,0.709,0.82,0.86,,,,,
overall_by_model_dataset_type,overall_model_dataset_type,city_council,,gpt-51,33,66,0.688,0.878,0.896,,,,,
overall_by_model_dataset_type,overall_model_dataset_type,private_data,,gpt-41-mini,22,44,0.704,0.805,0.838,,,,,
overall_by_model_dataset_type,overall_model_dataset_type,private_data,,gpt-5-mini,22,44,0.724,0.85,0.869,,,,,
overall_by_model_dataset_type,overall_model_dataset_type,private_data,,gpt-51,22,44,0.7,0.889,0.957,,,,,
overall_by_model_dataset_type,overall_model_dataset_type,whitehouse_press_briefings,,gpt-41-mini,58,116,0.467,0.841,0.807,,,,,
overall_by_model_dataset_type,overall_model_dataset_type,whitehouse_press_briefings,,gpt-5-mini,58,116,0.44,0.853,0.886,,,,,
overall_by_model_dataset_type,overall_model_dataset_type,whitehouse_press_briefings,,gpt-51,58,116,0.42,0.889,0.963,,,,,
detail,meeting_model,private_data,t_001,gpt-41-mini,,2,0.707,0.801,0.857,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.759, ""gpt-5-2025-08-07"": 0.655}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.808, ""gpt-5-2025-08-07"": 0.794}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.857, ""gpt-5-2025-08-07"": 0.857}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_001/offline/evaluation_report_standard_gpt-41-mini.json
detail,meeting_model,private_data,t_001,gpt-5-mini,,2,0.803,0.834,0.928,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.821, ""gpt-5-2025-08-07"": 0.786}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.829, ""gpt-5-2025-08-07"": 0.839}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.952, ""gpt-5-2025-08-07"": 0.905}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_001/offline/evaluation_report_standard_gpt-5-mini.json
detail,meeting_model,private_data,t_001,gpt-51,,2,0.572,0.887,1.0,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.657, ""gpt-5-2025-08-07"": 0.486}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.845, ""gpt-5-2025-08-07"": 0.929}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 1.0, ""gpt-5-2025-08-07"": 1.0}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_001/offline/evaluation_report_standard_gpt-51.json
detail,meeting_model,private_data,t_002,gpt-41-mini,,2,0.734,0.83,0.935,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.767, ""gpt-5-2025-08-07"": 0.7}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.831, ""gpt-5-2025-08-07"": 0.829}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 1.0, ""gpt-5-2025-08-07"": 0.871}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_002/offline/evaluation_report_standard_gpt-41-mini.json
detail,meeting_model,private_data,t_002,gpt-5-mini,,2,0.754,0.829,0.935,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.81, ""gpt-5-2025-08-07"": 0.698}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.824, ""gpt-5-2025-08-07"": 0.834}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.935, ""gpt-5-2025-08-07"": 0.935}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_002/offline/evaluation_report_standard_gpt-5-mini.json
detail,meeting_model,private_data,t_002,gpt-51,,2,0.72,0.883,0.968,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.814, ""gpt-5-2025-08-07"": 0.627}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.84, ""gpt-5-2025-08-07"": 0.925}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 1.0, ""gpt-5-2025-08-07"": 0.935}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_002/offline/evaluation_report_standard_gpt-51.json
detail,meeting_model,private_data,t_003,gpt-41-mini,,2,0.712,0.863,0.922,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.769, ""gpt-5-2025-08-07"": 0.654}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.849, ""gpt-5-2025-08-07"": 0.878}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.938, ""gpt-5-2025-08-07"": 0.906}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_003/offline/evaluation_report_standard_gpt-41-mini.json
detail,meeting_model,private_data,t_003,gpt-5-mini,,2,0.862,0.868,0.891,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.879, ""gpt-5-2025-08-07"": 0.845}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.866, ""gpt-5-2025-08-07"": 0.87}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.906, ""gpt-5-2025-08-07"": 0.875}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_003/offline/evaluation_report_standard_gpt-5-mini.json
detail,meeting_model,private_data,t_003,gpt-51,,2,0.691,0.898,1.0,"{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.714, ""gpt-5-2025-08-07"": 0.667}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 0.884, ""gpt-5-2025-08-07"": 0.912}","{""anthropic.claude-sonnet-4-20250514-v1:0"": 1.0, ""gpt-5-2025-08-07"": 1.0}",reused,/Users/lizhon/PycharmProjects/WebexSuiteAI/dataset-pipeline/dataset/views/meeting_notes/evaluation/internal/t_003/offline/evaluation_report_standard_gpt-51.json
