scope,metric,model_a,model_b,meetings_compared,mean_a,mean_b,mean_diff_a_minus_b,wins_a,wins_b,ties,p_value_sign_test,holm_adjusted_p,p_value_sign_test_display,holm_adjusted_p_display,significant_at_0_05
overall,Accuracy,gpt-41-mini,gpt-5-mini,113,0.580,0.574,0.006,60,51,2,0.44780613214374804,0.44780613214374804,0.447806,0.447806,no
overall,Accuracy,gpt-41-mini,gpt-51,113,0.580,0.553,0.027,69,43,1,0.017765781280387156,0.05329734384116147,0.017766,0.053297,no
overall,Accuracy,gpt-5-mini,gpt-51,113,0.574,0.553,0.021,64,47,2,0.12847543208575976,0.2569508641715195,0.128475,0.256951,no
overall,Completeness,gpt-41-mini,gpt-5-mini,113,0.815,0.843,-0.028,20,91,2,5.252559123485004e-12,5.252559123485004e-12,5.253e-12,5.253e-12,yes
overall,Completeness,gpt-41-mini,gpt-51,113,0.815,0.886,-0.071,3,109,1,9.022943270855312e-29,2.7068829812565937e-28,9.023e-29,2.707e-28,yes
overall,Completeness,gpt-5-mini,gpt-51,113,0.843,0.886,-0.043,9,103,1,2.314511484284656e-21,4.629022968569312e-21,2.315e-21,4.629e-21,yes
overall,Coverage,gpt-41-mini,gpt-5-mini,113,0.804,0.875,-0.072,15,77,21,3.262400923439496e-11,3.262400923439496e-11,3.262e-11,3.262e-11,yes
overall,Coverage,gpt-41-mini,gpt-51,113,0.804,0.942,-0.139,3,99,11,6.979604631123946e-26,2.093881389337184e-25,6.980e-26,2.094e-25,yes
overall,Coverage,gpt-5-mini,gpt-51,113,0.875,0.942,-0.067,11,85,17,2.547339085237751e-15,5.094678170475502e-15,2.547e-15,5.095e-15,yes
city_council,Accuracy,gpt-41-mini,gpt-5-mini,33,0.698,0.709,-0.011,17,15,1,0.860050065908581,0.9462593197822571,0.860050,0.946259,no
city_council,Accuracy,gpt-41-mini,gpt-51,33,0.698,0.688,0.011,20,12,1,0.21532714972272515,0.6459814491681755,0.215327,0.645981,no
